,Lon,Lat,grid_coords
378,-92.125,4.625,"(18, 5)"
379,-92.125,4.875,"(19, 5)"
380,-92.125,5.125,"(20, 5)"
381,-92.125,5.375,"(21, 5)"
382,-92.125,5.625,"(22, 5)"
383,-92.125,5.875,"(23, 5)"
384,-92.125,6.125,"(24, 5)"
385,-92.125,6.375,"(25, 5)"
386,-92.125,6.625,"(26, 5)"
387,-92.125,6.875,"(27, 5)"
388,-92.125,7.125,"(28, 5)"
389,-92.125,7.375,"(29, 5)"
390,-92.125,7.625,"(30, 5)"
391,-92.125,7.875,"(31, 5)"
392,-92.125,8.125,"(32, 5)"
393,-92.125,8.375,"(33, 5)"
394,-92.125,8.625,"(34, 5)"
395,-92.125,8.875,"(35, 5)"
396,-92.125,9.125,"(36, 5)"
397,-92.125,9.375,"(37, 5)"
398,-92.125,9.625,"(38, 5)"
399,-92.125,9.875,"(39, 5)"
400,-92.125,10.125,"(40, 5)"
401,-92.125,10.375,"(41, 5)"
402,-92.125,10.625,"(42, 5)"
403,-92.125,10.875,"(43, 5)"
404,-92.125,11.125,"(44, 5)"
405,-92.125,11.375,"(45, 5)"
406,-92.125,11.625,"(46, 5)"
407,-92.125,11.875,"(47, 5)"
408,-92.125,12.125,"(48, 5)"
409,-92.125,12.375,"(49, 5)"
410,-92.125,12.625,"(50, 5)"
411,-92.125,12.875,"(51, 5)"
412,-92.125,13.125,"(52, 5)"
413,-92.125,13.375,"(53, 5)"
414,-92.125,13.625,"(54, 5)"
415,-92.125,13.875,"(55, 5)"
416,-92.125,14.125,"(56, 5)"
417,-92.125,14.375,"(57, 5)"
418,-92.125,14.625,"(58, 5)"
419,-92.125,14.875,"(59, 5)"
420,-92.125,15.125,"(60, 5)"
421,-92.125,15.375,"(61, 5)"
422,-92.125,15.625,"(62, 5)"
423,-92.125,15.875,"(63, 5)"
424,-92.125,16.125,"(64, 5)"
425,-92.125,16.375,"(65, 5)"
426,-92.125,16.625,"(66, 5)"
427,-92.125,16.875,"(67, 5)"
428,-92.125,17.125,"(68, 5)"
429,-92.125,17.375,"(69, 5)"
430,-92.125,17.625,"(70, 5)"
431,-92.125,17.875,"(71, 5)"
432,-91.875,0.125,"(0, 6)"
433,-91.875,0.375,"(1, 6)"
434,-91.875,0.625,"(2, 6)"
