idx,Longitude,Latitude
3,-81.625,9.375
3,-81.125,11.625
3,-81.125,15.125
3,-80.875,17.375
3,-80.875,13.125
3,-81.125,12.375
3,-81.125,6.875
3,-81.375,6.125
3,-80.375,16.375
3,-80.875,11.625
3,-80.375,14.625
3,-79.875,9.375
3,-80.625,1.375
3,-80.125,17.375
3,-80.125,12.875
3,-80.375,14.125
3,-80.125,10.375
3,-80.375,2.375
3,-80.125,7.125
3,-80.125,4.375
3,-79.625,16.125
3,-79.875,11.625
3,-79.375,17.375
3,-79.875,9.375
3,-79.625,12.875
3,-79.375,10.375
3,-79.625,2.125
3,-79.375,14.375
3,-79.625,7.125
3,-79.125,15.875
3,-78.875,17.375
3,-79.375,9.625
3,-79.375,6.625
3,-78.875,10.875
3,-78.625,16.875
3,-77.625,9.875
3,-77.625,12.625
3,-77.625,10.625
3,-77.375,13.375
3,-77.125,15.625
3,-76.875,11.125
3,-76.625,14.625
3,-76.625,11.875
3,-76.625,17.625
3,-76.625,13.375
3,-76.375,15.625
3,-76.125,16.625
3,-75.625,10.875
3,-76.125,12.125
3,-75.875,17.875
3,-75.875,17.125
4,-92.125,1.875
4,-91.875,0.375
4,-90.875,0.375
4,-89.875,0.375
4,-88.125,16.125
4,-83.375,8.125
4,-82.375,11.875
4,-93.125,8.625
4,-92.875,10.375
4,-92.375,4.625
4,-93.125,9.125
4,-91.875,9.375
4,-92.375,4.125
4,-91.375,9.375
4,-91.375,4.375
4,-90.375,10.875
4,-90.375,10.375
4,-89.875,3.875
4,-90.375,0.125
4,-90.125,2.875
4,-89.875,8.625
4,-89.375,13.125
4,-89.875,3.625
4,-89.375,5.375
4,-89.625,2.875
4,-89.375,8.625
4,-88.625,8.125
4,-87.625,16.125
4,-87.625,8.125
4,-87.875,13.125
4,-86.375,9.875
4,-86.625,7.375
4,-86.125,9.375
4,-85.375,16.125
4,-86.125,6.875
4,-85.625,9.125
4,-85.125,8.375
4,-85.375,7.625
4,-84.875,3.375
4,-84.625,2.875
4,-84.375,7.125
4,-83.625,1.125
4,-83.625,4.375
4,-83.625,0.625
4,-83.125,3.875
4,-82.625,6.875
4,-82.625,0.375
4,-82.125,12.375
4,-82.375,8.125
4,-81.875,15.125
4,-82.125,9.625
4,-81.875,7.375
4,-82.125,1.125
4,-81.125,17.125
4,-81.375,1.625
4,-81.125,0.125
4,-80.875,2.375
4,-80.375,9.875
4,-80.375,15.125
4,-80.375,3.625
4,-79.875,12.125
4,-80.125,1.375
4,-80.125,2.125
4,-79.625,16.875
4,-79.625,9.875
4,-79.625,11.125
4,-79.625,6.375
4,-79.875,2.875
4,-79.375,13.125
4,-79.375,15.125
4,-79.875,6.375
4,-79.125,11.875
4,-79.375,7.625
4,-79.375,7.375
4,-79.625,1.625
4,-78.875,16.375
4,-78.875,10.875
4,-78.875,10.375
4,-78.375,14.375
4,-78.125,16.125
4,-78.375,10.625
4,-77.625,17.375
4,-77.875,14.375
4,-76.875,16.375
4,-76.875,17.375
4,-77.625,4.375
4,-76.375,14.375
4,-77.125,8.875
4,-76.625,9.625
4,-76.375,16.125
4,-76.375,17.375
4,-76.125,15.375
4,-76.125,13.875
4,-75.875,11.875
4,-76.375,9.375
4,-76.125,9.625
4,-75.625,14.125
4,-75.625,15.625
4,-75.625,11.625
4,-92.875,12.875
4,-93.125,10.875
4,-93.375,7.875
4,-92.625,12.375
4,-92.875,9.125
4,-92.625,10.625
4,-92.875,7.625
4,-91.875,12.875
4,-91.375,9.375
4,-91.625,13.375
4,-91.375,11.875
4,-91.375,12.625
4,-91.375,9.125
4,-90.625,13.375
4,-90.375,11.375
4,-90.125,13.375
4,-90.125,10.625
4,-89.875,12.875
4,-90.125,0.375
4,-89.625,8.625
4,-89.625,7.625
4,-89.125,10.375
4,-89.125,12.875
4,-89.375,4.875
4,-88.875,9.125
4,-88.875,7.125
4,-89.125,12.875
4,-88.375,9.625
4,-88.625,10.125
4,-87.875,17.125
4,-88.125,8.375
4,-88.375,7.375
4,-87.875,16.375
4,-88.125,10.375
4,-87.375,8.375
4,-87.125,16.125
4,-87.375,9.375
4,-86.625,17.625
4,-86.625,17.375
4,-86.125,16.125
4,-86.875,8.625
4,-86.125,16.125
4,-86.375,9.125
4,-86.375,17.625
4,-86.125,5.875
4,-85.875,10.125
4,-84.875,16.625
4,-84.875,8.375
4,-85.125,8.375
4,-85.625,5.875
4,-84.625,9.125
4,-84.875,16.125
4,-84.875,8.875
4,-84.875,8.375
4,-84.375,9.375
4,-83.875,16.375
4,-83.875,17.375
4,-83.875,7.375
4,-83.375,7.875
4,-83.125,16.625
4,-82.875,17.625
4,-83.125,7.875
4,-82.375,10.625
4,-82.625,7.875
4,-82.125,17.625
4,-82.125,12.125
4,-82.125,9.875
4,-83.125,7.375
4,-81.625,13.125
4,-81.875,1.375
4,-81.875,6.375
4,-81.375,17.625
4,-81.625,10.625
4,-81.625,9.625
4,-81.125,11.875
4,-81.125,15.375
4,-80.875,17.125
4,-80.875,13.375
4,-81.125,12.625
4,-81.125,6.625
4,-81.375,6.125
4,-80.375,16.125
4,-80.875,11.875
4,-80.375,14.375
4,-80.375,9.375
4,-80.625,1.625
4,-80.125,17.125
4,-80.125,13.125
4,-80.375,13.875
4,-80.125,10.625
4,-80.375,2.625
4,-80.125,6.875
4,-80.125,4.625
4,-79.625,15.875
4,-79.875,11.875
4,-79.375,17.125
4,-79.875,9.625
4,-79.625,13.125
4,-79.375,10.625
4,-79.625,2.125
4,-79.375,14.625
4,-79.625,7.125
4,-79.125,16.125
4,-78.875,17.125
4,-79.375,9.625
4,-79.375,6.875
4,-78.875,11.125
4,-78.625,16.625
4,-77.875,10.375
4,-77.625,12.875
4,-77.625,10.875
4,-77.375,13.125
4,-77.125,15.875
4,-76.375,11.125
4,-76.625,14.375
4,-76.625,11.625
4,-76.625,17.625
4,-76.625,13.125
4,-76.375,15.375
4,-76.125,16.375
4,-75.875,10.875
4,-76.125,12.375
4,-75.875,17.625
4,-75.875,16.875
5,-92.125,1.875
5,-92.125,0.125
5,-90.875,0.375
5,-89.875,0.625
5,-88.125,16.125
5,-83.375,8.125
5,-82.375,12.125
5,-92.875,8.625
5,-92.875,10.375
5,-92.625,4.125
5,-93.375,8.625
5,-91.875,9.375
5,-92.125,3.875
5,-91.375,9.375
5,-91.375,4.375
5,-90.375,11.375
5,-90.375,10.375
5,-89.625,3.875
5,-90.375,0.125
5,-90.125,2.875
5,-89.625,8.625
5,-89.375,13.125
5,-89.875,3.625
5,-89.375,5.375
5,-89.625,2.875
5,-89.375,8.625
5,-88.625,8.625
5,-87.625,16.125
5,-87.625,8.125
5,-87.875,13.125
5,-86.375,9.875
5,-86.375,7.375
5,-86.125,9.375
5,-85.375,16.125
5,-86.125,6.875
5,-85.625,9.125
5,-85.125,8.625
5,-85.375,8.125
5,-84.875,3.375
5,-84.625,2.875
5,-84.375,7.125
5,-83.375,1.125
5,-83.625,4.375
5,-83.625,0.625
5,-83.125,3.875
5,-82.625,6.875
5,-82.625,0.375
