,geometry
364,POINT (-92.125 1.125)
365,POINT (-92.125 1.375)
366,POINT (-92.125 1.625)
367,POINT (-92.125 1.875)
368,POINT (-92.125 2.125)
369,POINT (-92.125 2.375)
370,POINT (-92.125 2.625)
371,POINT (-92.125 2.875)
372,POINT (-92.125 3.125)
373,POINT (-92.125 3.375)
374,POINT (-92.125 3.625)
375,POINT (-92.125 3.875)
376,POINT (-92.125 4.125)
377,POINT (-92.125 4.375)
378,POINT (-92.125 4.625)
379,POINT (-92.125 4.875)
380,POINT (-92.125 5.125)
381,POINT (-92.125 5.375)
382,POINT (-92.125 5.625)
383,POINT (-92.125 5.875)
384,POINT (-92.125 6.125)
385,POINT (-92.125 6.375)
386,POINT (-92.125 6.625)
387,POINT (-92.125 6.875)
388,POINT (-92.125 7.125)
389,POINT (-92.125 7.375)
390,POINT (-92.125 7.625)
391,POINT (-92.125 7.875)
392,POINT (-92.125 8.125)
393,POINT (-92.125 8.375)
394,POINT (-92.125 8.625)
395,POINT (-92.125 8.875)
396,POINT (-92.125 9.125)
397,POINT (-92.125 9.375)
398,POINT (-92.125 9.625)
399,POINT (-92.125 9.875)
400,POINT (-92.125 10.125)
401,POINT (-92.125 10.375)
402,POINT (-92.125 10.625)
403,POINT (-92.125 10.875)
404,POINT (-92.125 11.125)
405,POINT (-92.125 11.375)
406,POINT (-92.125 11.625)
407,POINT (-92.125 11.875)
408,POINT (-92.125 12.125)
409,POINT (-92.125 12.375)
410,POINT (-92.125 12.625)
411,POINT (-92.125 12.875)
412,POINT (-92.125 13.125)
413,POINT (-92.125 13.375)
414,POINT (-92.125 13.625)
415,POINT (-92.125 13.875)
416,POINT (-92.125 14.125)
417,POINT (-92.125 14.375)
418,POINT (-92.125 14.625)
419,POINT (-92.125 14.875)
420,POINT (-92.125 15.125)
421,POINT (-92.125 15.375)
422,POINT (-92.125 15.625)
423,POINT (-92.125 15.875)
424,POINT (-92.125 16.125)
425,POINT (-92.125 16.375)
426,POINT (-92.125 16.625)
427,POINT (-92.125 16.875)
428,POINT (-92.125 17.125)
429,POINT (-92.125 17.375)
430,POINT (-92.125 17.625)
431,POINT (-92.125 17.875)
432,POINT (-91.875 0.125)
433,POINT (-91.875 0.375)
434,POINT (-91.875 0.625)
435,POINT (-91.875 0.875)
436,POINT (-91.875 1.125)
437,POINT (-91.875 1.375)
438,POINT (-91.875 1.625)
439,POINT (-91.875 1.875)
440,POINT (-91.875 2.125)
441,POINT (-91.875 2.375)
442,POINT (-91.875 2.625)
443,POINT (-91.875 2.875)
444,POINT (-91.875 3.125)
445,POINT (-91.875 3.375)
446,POINT (-91.875 3.625)
447,POINT (-91.875 3.875)
448,POINT (-91.875 4.125)
449,POINT (-91.875 4.375)
450,POINT (-91.875 4.625)
451,POINT (-91.875 4.875)
452,POINT (-91.875 5.125)
453,POINT (-91.875 5.375)
454,POINT (-91.875 5.625)
455,POINT (-91.875 5.875)
456,POINT (-91.875 6.125)
457,POINT (-91.875 6.375)
458,POINT (-91.875 6.625)
459,POINT (-91.875 6.875)
460,POINT (-91.875 7.125)
461,POINT (-91.875 7.375)
462,POINT (-91.875 7.625)
463,POINT (-91.875 7.875)
464,POINT (-91.875 8.125)
465,POINT (-91.875 8.375)
466,POINT (-91.875 8.625)
467,POINT (-91.875 8.875)
468,POINT (-91.875 9.125)
469,POINT (-91.875 9.375)
470,POINT (-91.875 9.625)
471,POINT (-91.875 9.875)
472,POINT (-91.875 10.125)
473,POINT (-91.875 10.375)
474,POINT (-91.875 10.625)
475,POINT (-91.875 10.875)
476,POINT (-91.875 11.125)
477,POINT (-91.875 11.375)
478,POINT (-91.875 11.625)
479,POINT (-91.875 11.875)
480,POINT (-91.875 12.125)
481,POINT (-91.875 12.375)
482,POINT (-91.875 12.625)
483,POINT (-91.875 12.875)
484,POINT (-91.875 13.125)
485,POINT (-91.875 13.375)
486,POINT (-91.875 13.625)
487,POINT (-91.875 13.875)
488,POINT (-91.875 14.125)
489,POINT (-91.875 14.375)
490,POINT (-91.875 14.625)
491,POINT (-91.875 14.875)
492,POINT (-91.875 15.125)
493,POINT (-91.875 15.375)
494,POINT (-91.875 15.625)
495,POINT (-91.875 15.875)
496,POINT (-91.875 16.125)
497,POINT (-91.875 16.375)
498,POINT (-91.875 16.625)
499,POINT (-91.875 16.875)
500,POINT (-91.875 17.125)
501,POINT (-91.875 17.375)
502,POINT (-91.875 17.625)
503,POINT (-91.875 17.875)
504,POINT (-91.625 0.125)
505,POINT (-91.625 0.375)
506,POINT (-91.625 0.625)
507,POINT (-91.625 0.875)
508,POINT (-91.625 1.125)
509,POINT (-91.625 1.375)
510,POINT (-91.625 1.625)
511,POINT (-91.625 1.875)
512,POINT (-91.625 2.125)
513,POINT (-91.625 2.375)
514,POINT (-91.625 2.625)
515,POINT (-91.625 2.875)
516,POINT (-91.625 3.125)
517,POINT (-91.625 3.375)
518,POINT (-91.625 3.625)
519,POINT (-91.625 3.875)
520,POINT (-91.625 4.125)
521,POINT (-91.625 4.375)
522,POINT (-91.625 4.625)
523,POINT (-91.625 4.875)
524,POINT (-91.625 5.125)
525,POINT (-91.625 5.375)
526,POINT (-91.625 5.625)
527,POINT (-91.625 5.875)
528,POINT (-91.625 6.125)
529,POINT (-91.625 6.375)
530,POINT (-91.625 6.625)
531,POINT (-91.625 6.875)
532,POINT (-91.625 7.125)
533,POINT (-91.625 7.375)
534,POINT (-91.625 7.625)
535,POINT (-91.625 7.875)
536,POINT (-91.625 8.125)
537,POINT (-91.625 8.375)
538,POINT (-91.625 8.625)
539,POINT (-91.625 8.875)
540,POINT (-91.625 9.125)
541,POINT (-91.625 9.375)
542,POINT (-91.625 9.625)
543,POINT (-91.625 9.875)
544,POINT (-91.625 10.125)
545,POINT (-91.625 10.375)
546,POINT (-91.625 10.625)
547,POINT (-91.625 10.875)
548,POINT (-91.625 11.125)
549,POINT (-91.625 11.375)
550,POINT (-91.625 11.625)
551,POINT (-91.625 11.875)
552,POINT (-91.625 12.125)
553,POINT (-91.625 12.375)
554,POINT (-91.625 12.625)
555,POINT (-91.625 12.875)
556,POINT (-91.625 13.125)
557,POINT (-91.625 13.375)
558,POINT (-91.625 13.625)
559,POINT (-91.625 13.875)
560,POINT (-91.625 14.125)
561,POINT (-91.625 14.375)
562,POINT (-91.625 14.625)
563,POINT (-91.625 14.875)
564,POINT (-91.625 15.125)
565,POINT (-91.625 15.375)
566,POINT (-91.625 15.625)
567,POINT (-91.625 15.875)
568,POINT (-91.625 16.125)
569,POINT (-91.625 16.375)
570,POINT (-91.625 16.625)
571,POINT (-91.625 16.875)
572,POINT (-91.625 17.125)
573,POINT (-91.625 17.375)
574,POINT (-91.625 17.625)
575,POINT (-91.625 17.875)
576,POINT (-91.375 0.125)
577,POINT (-91.375 0.375)
578,POINT (-91.375 0.625)
579,POINT (-91.375 0.875)
580,POINT (-91.375 1.125)
581,POINT (-91.375 1.375)
582,POINT (-91.375 1.625)
583,POINT (-91.375 1.875)
584,POINT (-91.375 2.125)
585,POINT (-91.375 2.375)
586,POINT (-91.375 2.625)
587,POINT (-91.375 2.875)
588,POINT (-91.375 3.125)
589,POINT (-91.375 3.375)
590,POINT (-91.375 3.625)
591,POINT (-91.375 3.875)
592,POINT (-91.375 4.125)
593,POINT (-91.375 4.375)
594,POINT (-91.375 4.625)
595,POINT (-91.375 4.875)
596,POINT (-91.375 5.125)
597,POINT (-91.375 5.375)
598,POINT (-91.375 5.625)
599,POINT (-91.375 5.875)
600,POINT (-91.375 6.125)
601,POINT (-91.375 6.375)
602,POINT (-91.375 6.625)
603,POINT (-91.375 6.875)
604,POINT (-91.375 7.125)
605,POINT (-91.375 7.375)
606,POINT (-91.375 7.625)
607,POINT (-91.375 7.875)
608,POINT (-91.375 8.125)
609,POINT (-91.375 8.375)
610,POINT (-91.375 8.625)
611,POINT (-91.375 8.875)
612,POINT (-91.375 9.125)
613,POINT (-91.375 9.375)
614,POINT (-91.375 9.625)
615,POINT (-91.375 9.875)
616,POINT (-91.375 10.125)
617,POINT (-91.375 10.375)
618,POINT (-91.375 10.625)
619,POINT (-91.375 10.875)
620,POINT (-91.375 11.125)
621,POINT (-91.375 11.375)
622,POINT (-91.375 11.625)
623,POINT (-91.375 11.875)
624,POINT (-91.375 12.125)
625,POINT (-91.375 12.375)
626,POINT (-91.375 12.625)
627,POINT (-91.375 12.875)
628,POINT (-91.375 13.125)
629,POINT (-91.375 13.375)
630,POINT (-91.375 13.625)
631,POINT (-91.375 13.875)
632,POINT (-91.375 14.125)
633,POINT (-91.375 14.375)
634,POINT (-91.375 14.625)
635,POINT (-91.375 14.875)
636,POINT (-91.375 15.125)
637,POINT (-91.375 15.375)
638,POINT (-91.375 15.625)
639,POINT (-91.375 15.875)
640,POINT (-91.375 16.125)
641,POINT (-91.375 16.375)
642,POINT (-91.375 16.625)
643,POINT (-91.375 16.875)
644,POINT (-91.375 17.125)
645,POINT (-91.375 17.375)
646,POINT (-91.375 17.625)
647,POINT (-91.375 17.875)
648,POINT (-91.125 0.125)
649,POINT (-91.125 0.375)
650,POINT (-91.125 0.625)
651,POINT (-91.125 0.875)
652,POINT (-91.125 1.125)
653,POINT (-91.125 1.375)
654,POINT (-91.125 1.625)
655,POINT (-91.125 1.875)
656,POINT (-91.125 2.125)
657,POINT (-91.125 2.375)
658,POINT (-91.125 2.625)
659,POINT (-91.125 2.875)
660,POINT (-91.125 3.125)
661,POINT (-91.125 3.375)
662,POINT (-91.125 3.625)
663,POINT (-91.125 3.875)
664,POINT (-91.125 4.125)
665,POINT (-91.125 4.375)
666,POINT (-91.125 4.625)
667,POINT (-91.125 4.875)
668,POINT (-91.125 5.125)
669,POINT (-91.125 5.375)
670,POINT (-91.125 5.625)
671,POINT (-91.125 5.875)
672,POINT (-91.125 6.125)
673,POINT (-91.125 6.375)
674,POINT (-91.125 6.625)
675,POINT (-91.125 6.875)
676,POINT (-91.125 7.125)
677,POINT (-91.125 7.375)
678,POINT (-91.125 7.625)
679,POINT (-91.125 7.875)
680,POINT (-91.125 8.125)
681,POINT (-91.125 8.375)
682,POINT (-91.125 8.625)
683,POINT (-91.125 8.875)
684,POINT (-91.125 9.125)
685,POINT (-91.125 9.375)
686,POINT (-91.125 9.625)
687,POINT (-91.125 9.875)
688,POINT (-91.125 10.125)
689,POINT (-91.125 10.375)
690,POINT (-91.125 10.625)
691,POINT (-91.125 10.875)
692,POINT (-91.125 11.125)
693,POINT (-91.125 11.375)
694,POINT (-91.125 11.625)
695,POINT (-91.125 11.875)
696,POINT (-91.125 12.125)
697,POINT (-91.125 12.375)
698,POINT (-91.125 12.625)
699,POINT (-91.125 12.875)
700,POINT (-91.125 13.125)
701,POINT (-91.125 13.375)
702,POINT (-91.125 13.625)
703,POINT (-91.125 13.875)
704,POINT (-91.125 14.125)
705,POINT (-91.125 14.375)
706,POINT (-91.125 14.625)
707,POINT (-91.125 14.875)
708,POINT (-91.125 15.125)
709,POINT (-91.125 15.375)
710,POINT (-91.125 15.625)
711,POINT (-91.125 15.875)
712,POINT (-91.125 16.125)
713,POINT (-91.125 16.375)
714,POINT (-91.125 16.625)
715,POINT (-91.125 16.875)
716,POINT (-91.125 17.125)
717,POINT (-91.125 17.375)
718,POINT (-91.125 17.625)
719,POINT (-91.125 17.875)
720,POINT (-90.875 0.125)
721,POINT (-90.875 0.375)
722,POINT (-90.875 0.625)
723,POINT (-90.875 0.875)
724,POINT (-90.875 1.125)
725,POINT (-90.875 1.375)
726,POINT (-90.875 1.625)
727,POINT (-90.875 1.875)
728,POINT (-90.875 2.125)
729,POINT (-90.875 2.375)
730,POINT (-90.875 2.625)
731,POINT (-90.875 2.875)
732,POINT (-90.875 3.125)
733,POINT (-90.875 3.375)
734,POINT (-90.875 3.625)
735,POINT (-90.875 3.875)
736,POINT (-90.875 4.125)
737,POINT (-90.875 4.375)
738,POINT (-90.875 4.625)
739,POINT (-90.875 4.875)
740,POINT (-90.875 5.125)
741,POINT (-90.875 5.375)
